Spanish,English
mataron,killed
vuelvas,Vuelve
talento,talent
descubrir,discover
gordo,Fat
tribunal,court
toque,I touched
wow,Wow.
hables,talks about
conocemos,We know
haberme,have
dispuesto,willing
tamaño,size
dejen,Leave
maravillosa,wonderful
invitado,invited
importantes,important
derechos,Rights
scott,Scott.
declaración,statement
claramente,clearly
pacientes,patients.
pérdida,lost
in,IN.
iban,were going
pudiste,You could
profundo,deep
gas,gas
aeropuerto,airport
consigue,get
olvidar,to forget
gloria,glory
olvides,forget about
volviendo,getting back
coge,coge.
fué,it was
llamaba,He called
pete,Pete.
tendrán,They will have
instituto,Institute
disparo,Shooting
encuentras,You find
querían,They wanted
hablemos,let's talk
dia,day
enviado,sent
pertenece,belong
sienta,Sit.
pensó,thought
cadáver,corpse
gracia,funny
doctora,doctor
escuchen,listen
